ultra1,ultra2,ultra3,ultra4,ultra5,closest_obstacle
817,582,694,533,2000,387
817,582,694,533,2000,387
817,582,694,533,2000,387
817,582,694,533,2000,387
817,582,694,533,2000,387
817,582,694,533,2000,387
817,582,694,533,2000,387
817,582,694,533,2000,387
817,582,694,533,2000,387
817,582,694,533,2000,387
817,582,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,694,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,533,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
817,609,648,1565,2000,387
721,609,648,1565,2000,291
721,609,648,1565,2000,291
721,609,648,1565,2000,291
721,609,648,1565,2000,291
721,609,648,1565,2000,291
721,609,648,1565,2000,291
721,609,648,1565,2000,291
