Time,position,speed,result
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0.05,0.005,0
26,0.095,0.009,0
27,0.1355,0.01215,0
28,0.17195,0.01458,1
29,0.204755,0.0164025,1
30,0.2342795,0.0177147,1
31,0.26085155,0.018600435,1
32,0.284766395,0.019131876,1
33,0.3062897555,0.01937102445,1
34,0.32566077995,0.01937102445,1
35,0.343094701955,0.0191773142055,1
36,0.3587852317595,0.0188286357654,1
37,0.37290670858355,0.018357919871265,1
38,0.335616037725195,0.012793060798303,1
39,0.302054433952676,0.00815759434122075,0
40,0.271848990557408,0.00432129056757192,0
41,0.244664091501667,0.00117067160524065,0
42,0.2201976823515,-0.00139303647030009,0
43,0.19817791411635,-0.00345570964678509,0
44,0.178360122704715,-0.00509191782327008,0
45,0.160524110434244,-0.00636632726799023,0
46,0.144471699390819,-0.00733493564553364,0
47,0.130024529451737,-0.00804615907488847,0
48,0.117022076506564,-0.008541788461917,0
49,0.105319868855907,-0.00885783038079094,0
50,0.0947878819703166,-0.00902524603127092,0
51,0.085309093773285,-0.00907060024784699,0
52,0.0767781843959565,-0.00901663116079514,0
53,0.0691003659563608,-0.00888274988867519,0
54,0.0621903293607247,-0.00868547855937128,0
55,0.0559712964246523,-0.0084388339970414,0
56,0.050374166782187,-0.00815466356158378,0
57,0.0453367501039683,-0.00784293887324728,0
58,0.0408030750935715,-0.00751201248696223,0
59,0.0367227675842143,-0.00716884198920172,0
60,0.0330504908257929,-0.00681918546612369,0
61,0.0297454417432136,-0.00646777182776925,0
62,0.0267708975688923,-0.00611844906242446,0
63,0.024093807812003,-0.00577431313187094,0
64,0.0216844270308027,-0.00543781989680388,0
65,0.0195159843277225,-0.00511088217743152,0
66,0.0175643858949502,-0.00479495380296559,0
67,0.0158079473054552,-0.00449110228161853,0
68,0.0142271525749097,-0.00420007152651123,0
69,0.0128044373174187,-0.00392233589960921,0
70,0.0115239935856768,-0.00365814668282247,0
71,0.0103715942271092,-0.00340757195039699,0
72,0.00933443480439823,-0.00317053069762839,0
73,0.00840099132395841,-0.00294682197590953,0
74,0.00680480297240631,-0.00253814364431797,0
75,0.00680480297240631,-0.00253814364431797,0
76,0.00612432267516568,-0.00235237730961024,0
77,0.00551189040764911,-0.00217838280540087,0
78,0.0049607013668842,-0.00201566342893727,0
79,0.00446463123019578,-0.00186370409971239,0
80,0.0040181681071762,-0.00172198000204311,0
81,0.00361635129645858,-0.00158996368291056,0
82,0.00325471616681272,-0.00146713082758409,0
83,0.00292924455013145,-0.00135296490649381,0
84,0.00263632009511831,-0.00124696086134574,0
85,0.00237268808560648,-0.00114862797616235,0
86,0.00213541927704583,-0.00105749205940218,0
87,0.00192187734934125,-0.00097309704623242,0
88,0.00172968961440712,-0.000895006115102591,0
89,0.00155672065296641,-0.000822802399736403,0
90,0.00140104858766977,-0.000756089366292427,0
91,0.00126094372890279,-0.000694490915539882,0
92,0.00113484935601251,-0.000637651261274921,0
93,0.00102136442041126,-0.000585234628707554,0
94,0.000919227978370135,-0.000536924810040912,0
95,0.000827305180533121,-0.000492424608820522,0
96,0.000744574662479809,-0.000451455199743801,0
97,0.000670117196231828,-0.000413755426394219,0
98,0.000603105476608645,-0.000379081055717115,0
99,0.000542794928947781,-0.00034720400491149,0
100,0.000488515436053003,-0.000317911553709819,0
101,0.000439663892447702,-0.000291005552699367,0
