Time,position,smoothposition,speed,smoothspeed
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,-0.5,-0.05,-0.05,-0.005
42,-0.5,-0.095,-0.045,-0.009
43,-0.5,-0.1355,-0.0405,-0.01215
44,-0.5,-0.17195,-0.03645,-0.01458
45,-0.5,-0.204755,-0.032805,-0.0164025
46,-0.5,-0.2342795,-0.0295245,-0.0177147
47,-0.5,-0.26085155,-0.02657205,-0.018600435
48,-0.5,-0.284766395,-0.023914845,-0.019131876
49,-0.5,-0.3062897555,-0.0215233605,-0.01937102445
50,-0.5,-0.32566077995,-0.01937102445,-0.01937102445
51,-0.5,-0.343094701955,-0.017433922005,-0.0191773142055
52,-0.5,-0.3587852317595,-0.0156905298045,-0.0188286357654
53,-0.5,-0.37290670858355,-0.01412147682405,-0.018357919871265
54,-0.5,-0.385616037725195,-0.012709329141645,-0.017793060798303
55,-0.5,-0.397054433952676,-0.0114383962274805,-0.0171575943412208
56,-0.5,-0.407348990557408,-0.0102945566047324,-0.0164712905675719
57,-0.5,-0.416614091501667,-0.0092651009442592,-0.0157506716052406
58,-0.5,-0.4249526823515,-0.00833859084983329,-0.0150094635296999
59,-0.5,-0.43245741411635,-0.00750473176484995,-0.0142589903532149
60,-0.5,-0.439211672704715,-0.00675425858836498,-0.0135085171767299
61,-0.5,-0.445290505434244,-0.00607883272952847,-0.0127655487320098
62,-0.5,-0.450761454890819,-0.00547094945657561,-0.0120360888044664
63,-0.5,-0.455685309401738,-0.00492385451091804,-0.0113248653751115
64,-0.5,-0.460116778461564,-0.00443146905982622,-0.010635525743583
65,-0.5,-0.464105100615407,-0.00398832215384365,-0.00997080538460906
66,-0.5,-0.467694590553867,-0.00358948993845926,-0.00933267383999408
67,-0.5,-0.47092513149848,-0.00323054094461334,-0.00872246055045601
68,-0.5,-0.473832618348632,-0.00290748685015202,-0.00814096318042561
69,0,-0.426449356513769,0.0473832618348632,-0.00258854067889673
70,0,-0.383804420862392,0.0426449356513769,0.00193480695413063
71,0,-0.345423978776153,0.0383804420862392,0.00557937046734149
72,0,-0.310881580898537,0.0345423978776153,0.00847567320836887
73,0,-0.279793422808684,0.0310881580898538,0.0107369216965174
74,0,-0.251814080527815,0.0279793422808683,0.0124611637549525
75,0,-0.226632672475034,0.0251814080527815,0.0137331881847354
76,0,-0.20396940522753,0.0226632672475034,0.0146261960910122
77,0,-0.183572464704777,0.020396940522753,0.0152032705341863
78,0,-0.1652152182343,0.0183572464704777,0.0155186681278154
79,0,-0.14869369641087,0.01652152182343,0.0156189534973769
80,0,-0.133824326769783,0.014869369641087,0.0155439951117479
81,-0.5,-0.170441894092804,-0.0366175673230217,0.0103278388682709
82,-0.5,-0.203397704683524,-0.0329558105907196,0.00599947392237186
83,-1,-0.283057934215172,-0.0796602295316476,-0.00256649642303009
84,-1,-0.354752140793654,-0.0716942065784829,-0.00947926743857536
85,-1,-0.419276926714289,-0.0645247859206345,-0.0149838192867813
86,-1,-0.47734923404286,-0.0580723073285711,-0.0192926680909603
87,-1,-0.529614310638574,-0.052265076595714,-0.0225899089414356
88,-1,-0.576652879574717,-0.0470385689361426,-0.0250347749409063
89,-1,-0.618987591617245,-0.0423347120425284,-0.0267647686510685
90,-1,-0.657088832455521,-0.0381012408382755,-0.0278984158697892
91,-1,-0.691379949209968,-0.034291116754448,-0.0285376859582551
92,-1,-0.722241954288972,-0.0308620050790032,-0.0287701178703299
93,-1,-0.750017758860074,-0.0277758045711028,-0.0286706865404072
94,-1,-0.775015982974067,-0.0249982241139926,-0.0283034402977657
95,-1,-0.79751438467666,-0.0224984017025933,-0.0277229364382485
96,-1,-0.817762946208994,-0.020248561532334,-0.026975498947657
97,-1,-0.835986651588095,-0.0182237053791006,-0.0261003195908014
98,-1,-0.852387986429285,-0.0164013348411906,-0.0251304211158403
99,-1,-0.867149187786357,-0.0147612013570715,-0.0240934991399634
100,-1,-0.880434269007721,-0.0132850812213643,-0.0230126573481035
101,-1,-0.892390842106949,-0.0119565730992278,-0.0219070489232159
102,-1,-0.903151757896254,-0.010760915789305,-0.0207924356098249
103,-1,-0.912836582106629,-0.00968482421037453,-0.0196816744698798
104,-1,-0.921552923895966,-0.00871634178933711,-0.0185851412018256
105,-0.5,-0.879397631506369,0.0421552923895966,-0.0125110978426833
106,-0.5,-0.841457868355732,0.037939763150637,-0.00746601174335131
107,-0.5,-0.807312081520159,0.0341457868355732,-0.00330483188545885
108,-0.5,-0.776580873368143,0.0307312081520159,9.87721182886224E-05
109,-0.5,-0.748922786031329,0.0276580873368143,0.00285470364014119
110,-0.5,-0.724030507428196,0.0248922786031329,0.00505846113644036
111,-0.5,-0.701627456685376,0.0224030507428196,0.00679292009707828
112,-0.5,-0.681464711016839,0.0201627456685376,0.00812990265422421
113,-0.5,-0.663318239915155,0.0181464711016839,0.00913155949897018
114,-0.5,-0.646986415923639,0.0163318239915154,0.00985158594822471
115,-0.5,-0.632287774331275,0.0146986415923639,0.0103362915126386
116,-0.5,-0.619058996898148,0.0132287774331276,0.0106255401046875
117,-0.5,-0.607153097208333,0.0119058996898148,0.0107535760632002
118,-1,-0.6464377874875,-0.0392846902791667,0.00574974942896355
119,-1,-0.68179400873875,-0.03535622125125,0.00163915236094219
120,-1,-0.713614607864875,-0.031820599126125,-0.00170682278776453
121,-1,-0.742253147078387,-0.0286385392135126,-0.00439999443033933
122,-1,-0.768027832370549,-0.0257746852921613,-0.00653746351652153
123,-1,-0.791225049133494,-0.0231972167629452,-0.00820343884116389
124,-1,-0.812102544220145,-0.0208774950866506,-0.00947084446571256
125,-1,-0.83089228979813,-0.0187897455779855,-0.0104027345769399
126,-1,-0.847803060818317,-0.016910771020187,-0.0110535382212646
127,-1,-0.863022754736485,-0.0152196939181682,-0.0114701537909549
128,-1,-0.876720479262837,-0.0136977245263514,-0.0116929108644946
129,-1,-0.889048431336553,-0.0123279520737163,-0.0117564149854168
130,-1,-0.900143588202898,-0.0110951568663447,-0.0116902891735096
131,-1,-0.910129229382608,-0.00998564117971024,-0.0115198243741296
132,-1,-0.919116306444347,-0.00898707706173918,-0.0112665496428906
133,-0.5,-0.877204675799912,0.0419116306444347,-0.00594873161415805
134,-0.5,-0.839484208219921,0.0377204675799913,-0.00158181169474312
135,-0.5,-0.805535787397929,0.0339484208219921,0.00197121155693041
136,-0.5,-0.774982208658136,0.0305535787397929,0.00482944827521666
137,-0.5,-0.747483987792323,0.0274982208658136,0.00709632553427635
138,-0.5,-0.72273558901309,0.0247483987792323,0.00886153285877194
139,-0.5,-0.700462030111781,0.022273558901309,0.0102027354630256
140,-0.5,-0.680415827100603,0.0200462030111781,0.0111870822178409
141,-1,-0.712374244390543,-0.0319584172899396,0.00687253226706284
142,-1,-0.741136819951489,-0.0287625755609457,0.00330902148426198
143,-1,-0.76702313795634,-0.0258863180048512,0.000389487535350664
144,-1,-0.790320824160706,-0.023297686204366,-0.001979229838621
145,-1,-0.811288741744635,-0.0209679175839295,-0.00387809861315185
146,-1,-0.830159867570172,-0.0188711258255365,-0.00537740133439032
147,-1,-0.847143880813155,-0.0169840132429828,-0.00653806252524957
148,-1,-0.862429492731839,-0.0152856119186845,-0.00741281746459306
149,-1,-0.876186543458655,-0.0137570507268161,-0.00804724079081536
150,-1,-0.88856788911279,-0.0123813456541345,-0.00848065127714728
151,-1,-0.899711100201511,-0.0111432110887211,-0.00874690725830466
152,-1,-0.90973999018136,-0.010028889979849,-0.00887510553045909
153,-1,-0.918765991163224,-0.00902600098186401,-0.00889019507559958
154,-1,-0.926889392046901,-0.00812340088367758,-0.00881351565640738
155,-1,-0.934200452842211,-0.00731106079530985,-0.00866327017029763
156,-1,-0.94078040755799,-0.00657995471577888,-0.00845493862484575
