ultra1,ultra2,ultra3,ultra4,ultra5,closest_obstacle
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
1380,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,2000,754,754
2000,2000,2000,1453,754,754
2000,2000,2000,1453,754,754
2000,2000,2000,1453,754,754
2000,2000,2000,1453,754,754
2000,2000,2000,1453,754,754
2000,2000,2000,1453,754,754
2000,2000,2000,1453,754,754
2000,2000,2000,1453,754,754
2000,2000,2000,1453,754,754
2000,2000,2000,1453,2000,1453
2000,2000,2000,1453,2000,1453
2000,2000,2000,1453,2000,1453
2000,2000,2000,1453,2000,1453
2000,2000,2000,1453,2000,1453
2000,2000,2000,1453,2000,1453
2000,2000,2000,1453,2000,1453
2000,2000,2000,1453,2000,1453
2000,2000,2000,1453,2000,1453
2000,2000,2000,1453,2000,1453
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,1453,2000,1300
1730,2000,2000,2000,2000,1300
1730,2000,2000,2000,2000,1300
1730,2000,2000,2000,2000,1300
1730,2000,2000,2000,2000,1300
1730,2000,2000,2000,2000,1300
1730,2000,2000,2000,2000,1300
1730,2000,2000,2000,2000,1300
1730,2000,2000,2000,2000,1300
1730,2000,2000,2000,2000,1300
1730,2000,2000,2000,678,678
1730,2000,2000,2000,678,678
1730,2000,2000,2000,678,678
1730,2000,2000,2000,678,678
1730,2000,2000,2000,678,678
1730,2000,2000,2000,678,678
1730,2000,2000,2000,678,678
1730,2000,2000,2000,678,678
1730,2000,2000,2000,678,678
1730,2000,2000,2000,678,678
2000,2000,2000,2000,678,678
2000,2000,2000,2000,678,678
2000,2000,2000,2000,678,678
2000,2000,2000,2000,678,678
2000,2000,2000,2000,678,678
2000,2000,2000,2000,678,678
2000,2000,2000,2000,678,678
2000,2000,2000,2000,678,678
2000,2000,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,678,678
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,847,2000,2000,2000,847
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,1598,2000,1570
2000,2000,2000,1598,2000,1570
2000,2000,2000,1598,2000,1570
2000,2000,2000,1598,2000,1570
2000,2000,2000,1598,2000,1570
2000,2000,2000,1598,2000,1570
2000,2000,2000,1598,2000,1570
2000,2000,2000,1598,2000,1570
2000,2000,2000,1598,2000,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,1598,1602,1570
2000,2000,2000,841,1602,841
2000,2000,2000,841,1602,841
2000,2000,2000,841,1602,841
2000,2000,2000,841,1602,841
2000,2000,2000,841,1602,841
2000,2000,2000,841,1602,841
2000,2000,2000,841,1602,841
2000,2000,2000,841,1602,841
2000,2000,2000,841,1602,841
2000,2000,2000,841,2000,841
2000,2000,2000,841,2000,841
2000,2000,2000,841,2000,841
2000,2000,2000,841,2000,841
2000,2000,2000,841,2000,841
2000,2000,2000,841,2000,841
2000,2000,2000,841,2000,841
2000,2000,2000,841,2000,841
2000,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,841,2000,841
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
1749,2000,2000,2000,2000,1319
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,2000,2000,2000,2000,1570
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,2000,2000,858
2000,858,2000,1106,2000,858
2000,858,2000,1106,2000,858
2000,858,2000,1106,2000,858
2000,858,2000,1106,2000,858
2000,858,2000,1106,2000,858
2000,858,2000,1106,2000,858
2000,858,2000,1106,2000,858
2000,858,2000,1106,2000,858
2000,858,2000,1106,2000,858
2000,858,2000,1106,2000,858
2000,858,2000,1106,2000,858
2000,858,2000,1106,1431,858
2000,858,2000,1106,1431,858
2000,858,2000,1106,1431,858
2000,858,2000,1106,1431,858
2000,858,2000,1106,1431,858
2000,858,2000,1106,1431,858
2000,858,2000,1106,1431,858
2000,858,2000,1106,1431,858
2000,858,2000,1106,1431,858
1696,858,2000,1106,1431,858
1696,858,2000,1106,1431,858
1696,858,2000,1106,1431,858
1696,858,2000,1106,1431,858
1696,858,2000,1106,1431,858
1696,858,2000,1106,1431,858
1696,858,2000,1106,1431,858
1696,858,2000,1106,1431,858
1696,858,2000,1106,1431,858
1696,858,2000,1106,1431,858
1696,858,2000,1106,1431,858
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,1106,1431,1106
1696,2000,2000,753,1431,753
1696,2000,2000,753,1431,753
1696,2000,2000,753,1431,753
1696,2000,2000,753,1431,753
1696,2000,2000,753,1431,753
1696,2000,2000,753,1431,753
1696,2000,2000,753,1431,753
1696,2000,2000,753,1431,753
1696,2000,2000,753,1431,753
1696,2000,2000,753,1431,753
1696,2000,2000,753,476,476
1696,2000,2000,753,476,476
1696,2000,2000,753,476,476
1696,2000,2000,753,476,476
1696,2000,2000,753,476,476
1696,2000,2000,753,476,476
1696,2000,2000,753,476,476
1696,2000,2000,753,476,476
1696,2000,2000,753,476,476
1696,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
2000,2000,2000,753,476,476
