Time,position,speed,result
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0.05,0.005,0
37,0.095,0.009,1
38,0.1355,0.01215,1
39,0.17195,0.01458,1
40,0.204755,0.0164025,1
41,0.2342795,0.0177147,2
42,0.26085155,0.018600435,2
43,0.284766395,0.019131876,2
44,0.3062897555,0.01937102445,2
45,0.32566077995,0.01937102445,2
46,0.343094701955,0.0191773142055,2
47,0.3587852317595,0.0188286357654,2
48,0.37290670858355,0.018357919871265,2
49,0.335616037725195,0.012793060798303,1
50,0.302054433952676,0.00815759434122075,1
51,0.271848990557408,0.00432129056757192,0
52,0.244664091501667,0.00117067160524065,0
53,0.2201976823515,-0.00139303647030009,0
54,0.19817791411635,-0.00345570964678509,0
55,0.178360122704715,-0.00509191782327008,0
56,0.160524110434244,-0.00636632726799023,0
57,0.144471699390819,-0.00733493564553364,0
58,0.130024529451737,-0.00804615907488847,0
59,0.117022076506564,-0.008541788461917,0
60,0.105319868855907,-0.00885783038079094,0
61,0.0947878819703166,-0.00902524603127092,0
62,0.0767781843959565,-0.00901663116079514,0
63,0.0767781843959565,-0.00901663116079514,0
64,0.0691003659563608,-0.00888274988867519,0
65,0.0621903293607247,-0.00868547855937128,0
66,0.0559712964246523,-0.0084388339970414,0
67,0.050374166782187,-0.00815466356158378,0
68,0.0453367501039683,-0.00784293887324728,0
69,0.0408030750935715,-0.00751201248696223,0
70,0.0367227675842143,-0.00716884198920172,0
71,0.0330504908257929,-0.00681918546612369,0
72,0.0297454417432136,-0.00646777182776925,0
73,0.0267708975688923,-0.00611844906242446,0
74,0.024093807812003,-0.00577431313187094,0
75,0.0216844270308027,-0.00543781989680388,0
76,0.0195159843277225,-0.00511088217743152,0
77,0.0175643858949502,-0.00479495380296559,0
78,0.0158079473054552,-0.00449110228161853,0
79,0.0142271525749097,-0.00420007152651123,0
80,0.0128044373174187,-0.00392233589960921,0
81,0.0115239935856768,-0.00365814668282247,0
82,0.0103715942271092,-0.00340757195039699,0
83,0.00933443480439823,-0.00317053069762839,0
84,0.00840099132395841,-0.00294682197590953,0
85,0.00756089219156257,-0.00273614969155816,0
86,0.00680480297240631,-0.00253814364431797,0
87,0.00612432267516568,-0.00235237730961024,0
88,0.00551189040764911,-0.00217838280540087,0
89,0.00446463123019578,-0.00186370409971239,0
90,0.00446463123019578,-0.00186370409971239,0
91,0.0040181681071762,-0.00172198000204311,0
92,0.00361635129645858,-0.00158996368291056,0
93,0.00325471616681272,-0.00146713082758409,0
94,-0.0470707554498686,-0.00635296490649381,0
95,-0.0923636799048817,-0.0102469608613457,-1
96,-0.183127311914394,-0.0182986279761624,-2
97,-0.264814580722954,-0.0246374920594022,-2
98,-0.338333122650659,-0.0295255970462324,-3
99,-0.404499810385593,-0.0331897061151026,-3
100,-0.464049829347034,-0.0358257373997364,-4
101,-0.51764484641233,-0.0376026653662924,-4
102,-0.565880361771097,-0.0386659503655399,-4
103,-0.609292325593987,-0.0391405517112749,-4
104,-0.648363093034589,-0.0391335732842076,-4
105,-0.68352678373113,-0.0387365850254409,-4
106,-0.68352678373113,-0.0387365850254409,-4
107,-0.715174105358017,-0.03592926963888,-4
108,-0.715174105358017,-0.03592926963888,-4
