ultra1,ultra2,ultra3,ultra4,ultra5,closest_obstacle
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,1086,1443,1086
1570,2000,2000,871,1443,871
1570,2000,2000,871,1443,871
1570,2000,2000,871,1443,871
1570,2000,2000,871,1443,871
1570,2000,2000,871,1443,871
1570,2000,2000,871,1443,871
1570,2000,2000,871,1443,871
1570,2000,2000,871,1443,871
1570,2000,2000,871,1443,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,2000,871,1746,871
1570,2000,1357,871,1746,871
1570,2000,1357,871,1746,871
1570,2000,1357,871,1746,871
1570,2000,1357,871,1746,871
1570,2000,1357,871,1746,871
1570,2000,1357,871,1746,871
1570,2000,1357,871,1746,871
1570,2000,1357,871,1746,871
1570,2000,1357,871,1746,871
1570,2000,1357,871,1746,871
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,1357,2000,1746,1357
1570,2000,2000,2000,1746,1570
1570,2000,2000,2000,1746,1570
1570,2000,2000,2000,1746,1570
1570,2000,2000,2000,1746,1570
1570,2000,2000,2000,1746,1570
1570,2000,2000,2000,1746,1570
1570,2000,2000,2000,1746,1570
1570,2000,2000,2000,1746,1570
1570,2000,2000,2000,1746,1570
1570,2000,2000,2000,1746,1570
1570,2000,2000,1709,1746,1570
1570,2000,2000,1709,1746,1570
1570,2000,2000,1709,1746,1570
1570,2000,2000,1709,1746,1570
1570,2000,2000,1709,1746,1570
1570,2000,2000,1709,1746,1570
1570,2000,2000,1709,1746,1570
1570,2000,2000,1709,1746,1570
1570,2000,2000,1709,1746,1570
1570,2000,2000,1709,1746,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,1709,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
1570,2000,2000,2000,2000,1570
