Time,position,smoothposition,speed,smoothspeed
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,-0.5,-0.05,-0.05,-0.005
189,-0.5,-0.095,-0.045,-0.009
190,-0.5,-0.1355,-0.0405,-0.01215
191,-0.5,-0.17195,-0.03645,-0.01458
192,-0.5,-0.204755,-0.032805,-0.0164025
193,-0.5,-0.2342795,-0.0295245,-0.0177147
194,-0.5,-0.26085155,-0.02657205,-0.018600435
195,-0.5,-0.284766395,-0.023914845,-0.019131876
196,-0.5,-0.3062897555,-0.0215233605,-0.01937102445
197,-0.5,-0.32566077995,-0.01937102445,-0.01937102445
198,-0.5,-0.343094701955,-0.017433922005,-0.0191773142055
199,-0.5,-0.3587852317595,-0.0156905298045,-0.0188286357654
200,-0.5,-0.37290670858355,-0.01412147682405,-0.018357919871265
201,-0.5,-0.385616037725195,-0.012709329141645,-0.017793060798303
202,-0.5,-0.397054433952676,-0.0114383962274805,-0.0171575943412208
203,-0.5,-0.407348990557408,-0.0102945566047324,-0.0164712905675719
204,-0.5,-0.416614091501667,-0.0092651009442592,-0.0157506716052406
205,-0.5,-0.4249526823515,-0.00833859084983329,-0.0150094635296999
206,-0.5,-0.43245741411635,-0.00750473176484995,-0.0142589903532149
207,-0.5,-0.439211672704715,-0.00675425858836498,-0.0135085171767299
208,-0.5,-0.445290505434244,-0.00607883272952847,-0.0127655487320098
209,-0.5,-0.450761454890819,-0.00547094945657561,-0.0120360888044664
210,-0.5,-0.455685309401738,-0.00492385451091804,-0.0113248653751115
211,-0.5,-0.460116778461564,-0.00443146905982622,-0.010635525743583
212,-0.5,-0.464105100615407,-0.00398832215384365,-0.00997080538460906
213,-1,-0.517694590553867,-0.0535894899384593,-0.0143326738399941
214,-1,-0.56592513149848,-0.0482305409446133,-0.017722460550456
215,-1.5,-0.659332618348632,-0.093407486850152,-0.0252909631804256
216,-1.5,-0.743399356513769,-0.0840667381651368,-0.0311685406788967
217,-1.5,-0.819059420862392,-0.0756600643486232,-0.0356176930458694
218,-1.5,-0.887153478776153,-0.0680940579137608,-0.0388653295326585
219,-1.5,-0.948438130898537,-0.0612846521223848,-0.0411072617916311
220,-1.5,-1.00359431780868,-0.0551561869101462,-0.0425121543034826
221,-2,-1.10323488602782,-0.0996405682191317,-0.0482249956950476
222,-2,-1.19291139742503,-0.0896765113972184,-0.0523701472652646
223,-2,-1.27362025768253,-0.0807088602574966,-0.0552040185644878
224,-2,-1.34625823191428,-0.0726379742317469,-0.0569474141312137
225,-2,-1.41163240872285,-0.0653741768085723,-0.0577900903989496
226,-2,-1.47046916785056,-0.058836759127715,-0.0578947572718261
227,-2,-1.52342225106551,-0.0529530832149436,-0.0574005898661379
228,-2,-1.57108002595896,-0.0476577748934492,-0.056426308368869
229,-2,-1.61397202336306,-0.0428919974041042,-0.0550728772723925
230,-2,-1.65257482102676,-0.0386027976636938,-0.0534258693115227
231,-2,-1.68731733892408,-0.0347425178973244,-0.0515575341701028
232,-2,-1.71858560503167,-0.031268266107592,-0.0495286073638518
233,-2,-1.7467270445285,-0.0281414394968329,-0.0473898905771499
234,-2,-1.77205434007565,-0.0253272955471495,-0.0451836310741498
235,-2,-1.79484890606809,-0.0227945659924347,-0.0429447245659783
236,-2,-1.81536401546128,-0.020515109393191,-0.0407017630486996
237,-2,-1.83382761391515,-0.0184635984538719,-0.0384779465892168
238,-2,-1.85044485252364,-0.0166172386084849,-0.0362918757911436
239,-2,-1.86540036727127,-0.0149555147476363,-0.0341582396867929
240,-2,-1.87886033054415,-0.0134599632728727,-0.0320884120454009
241,-2,-1.89097429748973,-0.0121139669455854,-0.0300909675354193
242,-2,-1.90187686774076,-0.0109025702510268,-0.0281721278069801
243,-2,-1.91168918096668,-0.00981231322592424,-0.0263361463488745
244,-2,-1.92052026287001,-0.00883108190333171,-0.0245856399043202
245,-2,-1.92846823658301,-0.0079479737129986,-0.0229218732851881
246,-2,-1.93562141292471,-0.00715317634169876,-0.0213450035908391
247,-2,-1.94205927163224,-0.00643785870752889,-0.0198542891025081
248,-2,-1.94785334446902,-0.00579407283677602,-0.0184482674759349
249,-2,-1.95306801002211,-0.00521466555309846,-0.0171249072836513
250,-2,-1.9577612090199,-0.00469319899778853,-0.015881736455065
251,-2,-1.96198508811791,-0.00422387909800959,-0.0147159507193594
252,-2,-1.96578657930612,-0.00380149118820872,-0.0136245047662444
253,-2,-1.96920792137551,-0.00342134206938782,-0.0126041884965587
254,-2,-1.97228712923796,-0.00307920786244908,-0.0116516904331477
255,-2,-1.97505841631416,-0.00277128707620422,-0.0107636500974534
256,-2,-1.97755257468275,-0.0024941583685838,-0.00993670092456644
257,-1.5,-1.92979731721447,0.0477552574682747,-0.00416750508528232
258,-1.5,-1.88681758549302,0.0429797317214471,0.000547218595390618
