Time,Right Motor Speed,Left Motor Speed
0,0,0
1,54,54
2,54,54
3,54,54
4,54,54
5,54,54
6,54,54
7,54,54
8,54,54
9,54,54
10,54,54
11,54,54
12,54,54
13,54,54
14,53,55
15,53,55
16,52,56
17,52,56
18,51,57
19,0,0
20,50,58
21,50,58
22,50,58
23,51,57
24,51,57
25,51,57
26,52,56
27,52,0
28,53,55
29,53,55
30,53,55
31,53,55
32,54,54
33,54,54
34,0,0
35,54,54
36,55,53
37,55,53
38,55,53
39,55,53
40,0,0
41,55,53
42,55,53
43,55,53
44,56,52
45,56,52
46,56,52
47,56,52
48,56,52
49,55,53
50,55,53
51,55,53
52,55,53
53,55,0
54,55,53
55,55,53
56,55,53
57,54,54
58,54,54
59,54,54
60,55,53
61,55,53
62,55,53
63,55,53
64,56,52
65,56,52
66,56,52
67,56,52
68,57,51
69,57,51
70,56,52
71,0,0
72,56,52
73,56,52
74,56,52
75,56,52
76,56,52
77,55,53
78,55,53
79,54,54
80,0,0
81,55,53
82,55,53
83,55,53
84,55,53
85,55,53
86,55,53
87,0,0
88,55,53
89,54,54
90,54,54
91,54,54
92,54,54
93,53,55
94,53,55
95,53,55
96,0,0
97,52,56
98,52,56
99,52,56
100,52,56
101,52,56
102,53,55
103,53,55
104,53,55
105,53,55
106,53,55
107,0,0
108,53,55
109,53,55
110,0,0
111,53,55
112,53,55
113,53,55
114,53,55
115,53,55
116,53,55
117,52,56
118,52,56
119,52,56
120,52,56
121,52,56
122,52,56
123,52,56
124,52,56
125,52,56
126,52,56
127,52,56
128,52,56
129,0,0
130,52,56
131,52,56
132,53,55
133,53,55
134,53,55
135,53,55
136,53,55
137,53,55
138,53,55
139,53,55
140,53,55
141,54,54
142,54,54
143,54,54
144,55,53
145,55,53
146,56,52
147,56,52
148,56,52
149,56,52
150,56,52
151,56,52
152,56,52
153,55,53
154,55,53
155,55,53
156,55,53
157,55,53
158,55,53
159,55,53
160,55,53
161,55,53
162,54,54
163,55,53
164,55,53
165,55,53
166,0,0
167,57,51
168,0,0
169,57,51
170,57,51
171,57,51
172,56,52
173,56,52
174,56,52
175,0,0
176,56,52
177,56,52
178,56,52
179,55,53
180,55,53
181,55,53
182,55,53
183,55,53
184,55,53
185,55,53
186,55,53
187,55,53
188,55,53
189,55,53
190,54,54
191,54,54
192,54,54
193,53,55
194,53,55
195,52,56
196,52,56
197,52,56
198,52,56
199,52,56
200,0,0
201,52,56
202,53,55
203,53,55
204,53,55
205,53,55
206,53,55
207,53,55
208,53,55
209,0,0
210,53,55
211,0,0
212,54,54
213,54,54
214,0,0
215,53,55
216,52,56
217,53,55
218,53,55
219,53,55
220,0,0
221,53,55
222,53,55
223,53,55
224,53,55
225,53,55
226,53,55
227,53,55
228,53,55
229,53,55
230,53,55
231,53,55
232,53,55
233,54,54
234,54,54
235,54,54
236,54,54
237,54,54
238,54,54
239,54,54
240,54,54
241,54,54
242,0,0
243,54,54
244,54,54
245,54,54
246,54,54
247,54,54
248,54,0
249,54,54
250,54,54
251,54,54
252,54,54
253,54,54
254,0,0
255,54,54
256,54,54
257,54,54
258,54,54
259,54,54
260,54,54
261,54,54
262,54,54
263,54,54
264,54,54
265,54,54
266,54,54
