Time,position,smoothposition,speed,smoothspeed
0,-1,-0.1,-0.1,-0.01
1,-1,-0.19,-0.09,-0.018
2,-1,-0.271,-0.081,-0.0243
3,-1,-0.3439,-0.0729,-0.02916
4,-1,-0.40951,-0.06561,-0.032805
5,-1,-0.468559,-0.059049,-0.0354294
6,-1,-0.5217031,-0.0531441,-0.03720087
7,-1,-0.56953279,-0.04782969,-0.038263752
8,-1,-0.612579511,-0.043046721,-0.0387420489
9,-1,-0.6513215599,-0.0387420489,-0.0387420489
10,-1,-0.68618940391,-0.03486784401,-0.038354628411
11,-1,-0.717570463519,-0.031381059609,-0.0376572715308
12,-1,-0.7458134171671,-0.0282429536481,-0.03671583974253
13,-1,-0.77123207545039,-0.02541865828329,-0.035586121596606
14,-1,-0.794108867905351,-0.022876792454961,-0.0343151886824415
15,-1,-0.814697981114816,-0.0205891132094649,-0.0329425811351438
16,-1,-0.833228183003334,-0.0185302018885184,-0.0315013432104813
17,-1,-0.849905364703001,-0.0166771816996666,-0.0300189270593998
18,-1,-0.864914828232701,-0.0150094635296999,-0.0285179807064298
19,-1,-0.878423345409431,-0.01350851717673,-0.0270170343534598
20,-1,-0.890581010868488,-0.0121576654590569,-0.0255310974640196
21,-1,-0.901522909781639,-0.0109418989131512,-0.0240721776089327
22,-1,-0.911370618803475,-0.00984770902183607,-0.0226497307502231
23,-1,-0.920233556923127,-0.00886293811965244,-0.021271051487166
24,-1,-0.928210201230815,-0.0079766443076873,-0.0199416107692181
25,-1.5,-0.985389181107733,-0.0571789798769186,-0.0236653476799882
26,-1.5,-1.03685026299696,-0.0514610818892267,-0.026444921100912
27,-1.5,-1.08316523669726,-0.0463149737003039,-0.0284319263608512
28,-1.5,-1.12484871302754,-0.0416834763302736,-0.0297570813577934
29,-2,-1.21236384172478,-0.0875151286972462,-0.0355328860917387
30,-2,-1.29112745755231,-0.0787636158275216,-0.039855959065317
31,-2,-1.36201471179707,-0.0708872542447694,-0.0429590885832623
32,-2,-1.42581324061737,-0.0637985288202925,-0.0450430326069653
33,-2,-1.48323191655563,-0.0574186759382633,-0.0462805969400951
34,-2,-1.53490872490007,-0.051676808344437,-0.0468202180805293
35,-2,-1.58141785241006,-0.0465091275099934,-0.0467891090234757
36,-2,-1.62327606716905,-0.0418582147589939,-0.0462960195970275
37,-2,-1.66094846045215,-0.0376723932830945,-0.0454336569656342
38,-2,-1.69485361440693,-0.033905153954785,-0.0442808066645493
39,-2,-1.72536825296624,-0.0305146385593067,-0.042904189854025
40,-2,-1.75283142766962,-0.027463174703376,-0.0413600883389601
41,-2,-1.77754828490266,-0.0247168572330383,-0.0396957652283679
42,-2,-1.79979345641239,-0.0222451715097345,-0.0379507058565046
43,-2,-1.81981411077115,-0.0200206543587611,-0.0361577007067302
44,-2,-1.83783269969404,-0.018018588922885,-0.0343437895283457
45,-2,-1.85404942972463,-0.0162167300305964,-0.0325310835785708
46,-2,-1.86864448675217,-0.0145950570275368,-0.0307374809234674
47,-2,-1.88178003807695,-0.0131355513247831,-0.028977287963599
48,-2,-1.89360203426926,-0.0118219961923047,-0.0272617587864695
49,-2,-1.90424183084233,-0.0106397965730742,-0.02559956256513
50,-2,-1.9138176477581,-0.00957581691576692,-0.0239971880001937
51,-2,-1.92243588298229,-0.00861823522419014,-0.0224592927225933
52,-2,-1.93019229468406,-0.00775641170177122,-0.0209890046205111
53,-2,-1.93717306521565,-0.00698077053159407,-0.0195881812116194
54,-2,-1.94345575869409,-0.00628269347843458,-0.0182576324383009
55,-2,-1.94911018282468,-0.00565442413059114,-0.01699731160753
56,-2,-1.95419916454221,-0.00508898171753214,-0.0158064786185302
57,-2,-1.95877924808799,-0.00458008354577877,-0.014683839111255
58,-2,-1.96290132327919,-0.004122075191201,-0.0136276627192496
59,-2,-1.96661119095127,-0.00370986767208081,-0.0126358832145328
60,-1.5,-1.91995007185614,0.0466611190951272,-0.00670618298356676
61,-1.5,-1.87795506467053,0.0419950071856146,-0.00183606396664863
62,-1.5,-1.84015955820348,0.037795506467053,0.00212709307672153
63,-1,-1.75614360238313,0.0840159558203477,0.0103159793510842
64,-1,-1.68052924214482,0.075614360238313,0.016845817439807
65,-1,-1.61247631793033,0.0680529242144816,0.0219665281172745
66,-1,-1.5512286861373,0.0612476317930335,0.0258946384848504
67,-1,-1.49610581752357,0.0551228686137302,0.0288174614977384
68,-1,-1.44649523577121,0.0496105817523571,0.0308967735232002
69,-1,-1.40184571219409,0.0446495235771214,0.0322720485285924
70,-1,-1.36166114097468,0.0401845712194093,0.0330633007976741
71,-1,-1.32549502687721,0.0361661140974683,0.0333735821276535
72,-1,-1.29294552418949,0.0325495026877214,0.0332911741836603
73,-1,-1.26365097177054,0.0292945524189494,0.0328915120071892
74,-1,-1.23728587459349,0.0263650971770544,0.0322388705241757
75,-1,-1.21355728713414,0.0237285874593489,0.031387842217693
76,-1,-1.19220155842073,0.0213557287134141,0.0303846308672651
77,-1,-1.17298140257865,0.0192201558420726,0.0292681833647459
78,-1,-1.15568326232079,0.0172981402578654,0.0280711790540578
79,-1,-1.14011493608871,0.0155683262320789,0.0268208937718599
80,-1,-1.12610344247984,0.0140114936088709,0.025539953755561
81,-1,-1.11349309823186,0.0126103442479839,0.0242469928048033
82,-1,-1.10214378840867,0.0113493098231856,0.0229572245066415
83,-1,-1.0919294095678,0.0102143788408668,0.0216829399400641
84,-1,-1.08273646861102,0.00919294095678036,0.0204339400417357
85,-1,-1.07446282174992,0.00827364686110221,0.0192179107236724
