Time,position,smoothposition,speed,smoothspeed
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,-0.5,-0.05,-0.05,-0.005
19,-0.5,-0.095,-0.045,-0.009
20,-0.5,-0.1355,-0.0405,-0.01215
21,-0.5,-0.17195,-0.03645,-0.01458
22,-0.5,-0.204755,-0.032805,-0.0164025
23,-0.5,-0.2342795,-0.0295245,-0.0177147
24,-0.5,-0.26085155,-0.02657205,-0.018600435
25,-0.5,-0.284766395,-0.023914845,-0.019131876
26,-0.5,-0.3062897555,-0.0215233605,-0.01937102445
27,-0.5,-0.32566077995,-0.01937102445,-0.01937102445
28,-0.5,-0.343094701955,-0.017433922005,-0.0191773142055
29,-0.5,-0.3587852317595,-0.0156905298045,-0.0188286357654
30,-0.5,-0.37290670858355,-0.01412147682405,-0.018357919871265
31,-0.5,-0.385616037725195,-0.012709329141645,-0.017793060798303
32,-0.5,-0.397054433952676,-0.0114383962274805,-0.0171575943412208
33,-0.5,-0.407348990557408,-0.0102945566047324,-0.0164712905675719
34,-0.5,-0.416614091501667,-0.0092651009442592,-0.0157506716052406
35,-0.5,-0.4249526823515,-0.00833859084983329,-0.0150094635296999
36,-0.5,-0.43245741411635,-0.00750473176484995,-0.0142589903532149
37,-0.5,-0.439211672704715,-0.00675425858836498,-0.0135085171767299
38,-0.5,-0.445290505434244,-0.00607883272952847,-0.0127655487320098
39,-0.5,-0.450761454890819,-0.00547094945657561,-0.0120360888044664
40,-0.5,-0.455685309401738,-0.00492385451091804,-0.0113248653751115
41,-0.5,-0.460116778461564,-0.00443146905982622,-0.010635525743583
42,-0.5,-0.464105100615407,-0.00398832215384365,-0.00997080538460906
43,-0.5,-0.467694590553867,-0.00358948993845926,-0.00933267383999408
44,-0.5,-0.47092513149848,-0.00323054094461334,-0.00872246055045601
45,-0.5,-0.473832618348632,-0.00290748685015202,-0.00814096318042561
46,-0.5,-0.476449356513769,-0.0026167381651368,-0.00758854067889673
47,-0.5,-0.478804420862392,-0.00235506434862315,-0.00706519304586937
48,-0.5,-0.480923978776153,-0.00211955791376078,-0.00657062953265851
49,-0.5,-0.482831580898537,-0.00190760212238472,-0.00610432679163113
50,-0.5,-0.484548422808684,-0.00171684191014626,-0.00566557830348265
51,-0.5,-0.486093580527815,-0.00154515771913161,-0.00525353624504754
52,-0.5,-0.487484222475034,-0.00139064194721844,-0.00486724681526463
53,-0.5,-0.48873580022753,-0.00125157775249662,-0.00450567990898783
54,-0.5,-0.489862220204777,-0.00112641997724694,-0.00416775391581374
55,-0.5,-0.4908759981843,-0.00101377797952229,-0.0038523563221846
56,-1,-0.54178839836587,-0.0509124001815701,-0.00855836070812314
57,-1,-0.587609558529283,-0.045821160163413,-0.0122846406536521
58,-1,-0.628848602676354,-0.0412390441470717,-0.0151800810029941
59,-1,-0.665963742408719,-0.0371151397323646,-0.0173735868759311
60,-1,-0.699367368167847,-0.0334036257591281,-0.0189765907642508
61,-1,-0.729430631351062,-0.0300632631832153,-0.0200852580061473
62,-1,-0.756487568215956,-0.0270569368648937,-0.0207824258920219
63,-1,-0.780838811394361,-0.0243512431784044,-0.0211393076206602
64,-1,-0.802754930254925,-0.021916118860564,-0.0212169887446506
65,-1,-0.822479437229432,-0.0197245069745076,-0.0210677405676363
66,-1,-0.840231493506489,-0.0177520562770568,-0.0207361721385783
67,-1,-0.85620834415584,-0.0159768506493511,-0.0202602399896556
68,-1,-0.870587509740256,-0.014379165584416,-0.0196721325491316
69,-1,-0.88352875876623,-0.0129412490259744,-0.0189990441968159
70,-1,-0.895175882889607,-0.011647124123377,-0.018263852189472
71,-1,-0.905658294600647,-0.0104824117110393,-0.0174857081416287
72,-1,-0.915092465140582,-0.00943417053993534,-0.0166805543814594
73,-1,-0.923583218626524,-0.00849075348594186,-0.0158615742919076
74,-1,-0.931224896763871,-0.00764167813734762,-0.0150395846764516
75,-1,-0.938102407087484,-0.00687751032361283,-0.0142233772411678
76,-1,-0.944292166378736,-0.00618975929125154,-0.0134200154461761
77,-1,-0.949862949740862,-0.00557078336212646,-0.0126350922377712
78,-1,-0.954876654766776,-0.00501370502591381,-0.0118729535165854
79,-1,-0.959388989290098,-0.00451233452332245,-0.0111368916172591
80,-1,-0.963450090361089,-0.00406110107099011,-0.0104293125626322
81,-1,-0.96710508132498,-0.0036549909638911,-0.00975188040275812
82,-1,-0.970394573192482,-0.00328949186750205,-0.00910564154923251
83,-1,-0.973355115873234,-0.00296054268075185,-0.00849113166238445
84,-1,-0.97601960428591,-0.00266448841267664,-0.00790846733741367
85,-1,-0.978417643857319,-0.00239803957140894,-0.00735742456081319
86,-1.5,-1.03057587947159,-0.052158235614268,-0.0118375056661587
87,-1.5,-1.07751829152443,-0.0469424120528412,-0.0153479963048269
88,-2,-1.16976646237199,-0.0922481708475571,-0.0230380137590999
89,-2,-1.25278981613479,-0.0830233537628013,-0.0290365477594701
90,-2,-1.32751083452131,-0.0747210183865212,-0.0336049948221752
91,-2,-1.39475975106918,-0.0672489165478691,-0.0369693869947446
92,-2,-1.45528377596226,-0.0605240248930823,-0.0393248507845784
93,-2,-1.50975539836603,-0.054471622403774,-0.0408395279464979
94,-2,-1.55877985852943,-0.0490244601633967,-0.0416580211681878
95,-2,-1.60290187267649,-0.0441220141470571,-0.0419044204660747
96,-2,-1.64261168540884,-0.0397098127323512,-0.0416849596927024
97,-2,-1.67835051686795,-0.0357388314591163,-0.0410903468693438
98,-2,-1.71051546518116,-0.0321649483132045,-0.0401978070137298
99,-2,-1.73946391866304,-0.028948453481884,-0.0390728716605453
100,-2,-1.76551752679674,-0.0260536081336957,-0.0377709453078603
101,-2,-1.78896577411707,-0.0234482473203261,-0.0363386755091069
102,-2,-1.81006919670536,-0.0211034225882936,-0.0348151502170256
103,-2,-1.82906227703482,-0.0189930803294642,-0.0332329432282694
104,-2,-1.84615604933134,-0.0170937722965177,-0.0316190261350942
105,-2,-1.86154044439821,-0.015384395066866,-0.0299955630282714
106,-2,-1.87538639995839,-0.0138459555601793,-0.0283806022814622
107,-2,-1.88784775996255,-0.0124613600041614,-0.0267886780537321
108,-2,-1.89906298396629,-0.0112152240037453,-0.0252313326487334
109,-2,-1.90915668556966,-0.0100937016033706,-0.0237175695441972
110,-2,-1.9182410170127,-0.00908433144303378,-0.0222542457340808
111,-2,-1.92641691531143,-0.00817589829873033,-0.0208464109905458
112,-2,-1.93377522378028,-0.00735830846885732,-0.0194976007383769
113,-2,-1.94039770140226,-0.00662247762197166,-0.0182100884267364
114,-2,-1.94635793126203,-0.00596022985977429,-0.0169851025700402
115,-2,-1.95172213813583,-0.00536420687379691,-0.0158230130004159
116,-2,-1.95654992432224,-0.00482778618641722,-0.014723490319016
117,-2,-1.96089493189002,-0.00434500756777556,-0.013685642043892
118,-2,-1.96480543870102,-0.00391050681099792,-0.0127081285206026
119,-2,-1.96832489483092,-0.00351945612989812,-0.0117892612815321
120,-2,-1.97149240534782,-0.00316751051690845,-0.0109270862050697
121,-3,-2.07434316481304,-0.102850759465217,-0.0201194535310845
122,-3,-2.16690884833174,-0.0925656835186959,-0.0273640765298457
123,-3,-2.25021796349856,-0.0833091151668262,-0.0329585803935437
124,-3,-2.32519616714871,-0.0749782036501436,-0.0371605427192037
125,-3,-2.39267655043384,-0.0674803832851292,-0.0401925267757962
126,-3,-2.45340889539045,-0.0607323449566164,-0.0422465085938783
127,-3,-2.50806800585141,-0.0546591104609546,-0.0434877687805859
128,-3,-2.55726120526627,-0.0491931994148591,-0.0440583118440132
129,-3,-2.60153508473964,-0.0442738794733732,-0.0440798686069492
130,-3,-2.64138157626568,-0.0398464915260361,-0.0436565308988579
131,-3,-2.67724341863911,-0.0358618423734325,-0.0428770620463154
132,-3,-2.7095190767752,-0.032275658136089,-0.0418169216552927
133,-3,-2.73856716909768,-0.0290480923224803,-0.0405400387220115
134,-3,-2.76471045218791,-0.026143283090232,-0.0391003631588335
135,-3,-2.78823940696912,-0.023528954781209,-0.0375432223210711
136,-3,-2.80941546627221,-0.0211760593030879,-0.0359065060192728
137,-3,-2.82847391964499,-0.0190584533727791,-0.0342217007546234
138,-3,-2.84562652768049,-0.0171526080355013,-0.0325147914827112
