ultra1,ultra2,ultra3,ultra4,ultra5,closest_obstacle
401,942,557,1007,2000,401
401,942,557,1007,2000,401
401,942,557,1007,2000,401
401,942,557,1007,2000,401
401,942,557,1007,2000,401
401,942,557,1007,2000,401
401,942,557,1007,2000,401
401,942,557,1007,2000,401
401,942,557,1007,2000,401
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,557,1007,2000,557
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,942,2000,1007,2000,942
1570,2000,2000,1007,2000,1007
1570,2000,2000,1007,2000,1007
