Time,position,speed,result
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,-0.25,-0.025,-1
76,-0.475,-0.045,-3
77,-0.6775,-0.06075,-4
78,-0.85975,-0.0729,-4
79,-1.023775,-0.0820125,-5
80,-1.1713975,-0.0885735,-6
81,-1.30425775,-0.093002175,-6
82,-1.423831975,-0.09565938,-6
83,-1.5314487775,-0.09685512225,-6
84,-1.62830389975,-0.09685512225,-6
85,-1.715473509775,-0.0958865710275,-6
86,-1.7939261587975,-0.094143178827,-6
87,-1.86453354291775,-0.091789599356325,-6
88,-1.87808018862597,-0.083965303991515,-6
89,-1.89027216976338,-0.0767879717061037,-5
90,-1.90124495278704,-0.0702064528378596,-5
91,-1.91112045750834,-0.0641733580262032,-5
92,-1.9200084117575,-0.0586448176484995,-4
93,-1.92800757058175,-0.0535802517660746,-4
94,-1.93520681352358,-0.0489421508836496,-4
95,-1.94168613217122,-0.0446958676600489,-4
96,-1.9475175189541,-0.0408094195723318,-3
97,-1.95276576705869,-0.0372533024255577,-3
98,-1.95748919035282,-0.034000314512415,-3
99,-1.96174027131754,-0.0310253911576453,-3
100,-1.96556624418578,-0.0283054493287054,-3
101,-1.9690096197672,-0.0258192419539771,-2
102,-1.97210865779048,-0.0235472215609073,-2
103,-1.97489779201144,-0.0214714128269117,-2
104,-1.97740801281029,-0.0195752936241062,-2
105,-1.97966721152926,-0.0178436841335927,-2
106,-1.98170049037634,-0.0162626436049408,-2
107,-1.9835304413387,-0.0148193743406833,-2
108,-1.98517739720483,-0.0135021324932279,-2
109,-1.98665965748435,-0.0123001452718568,-2
110,-1.98799369173591,-0.0102032438354857,-2
111,-1.98799369173591,-0.0102032438354857,-2
112,-1.99027489030609,-0.00929097622631394,-1
113,-1.99212266114793,-0.00770074271780466,-1
114,-1.99212266114793,-0.00770074271780466,-1
115,-1.99361935552983,-0.00637939370075896,-1
116,-1.99361935552983,-0.00637939370075896,-1
117,-1.99425741997684,-0.00580526077538481,-1
118,-1.99483167797916,-0.00528216049807789,-1
119,-1.99534851018124,-0.00480562766847851,-1
120,-1.99581365916312,-0.00437157979981822,-1
121,-1.99623229324681,-0.0039762852282052,-1
122,-1.99660906392213,-0.00361633377291661,-1
123,-1.99694815752991,-0.00328860975640369,-1
124,-1.99725334177692,-0.00299026720546417,-1
125,-1.99752800759923,-0.00271870706714854,-1
126,-1.99777520683931,-0.00247155628444138,-1
127,-1.99799768615538,-0.00224664858760417,-1
128,-1.99819791753984,-0.00204200686729,-1
129,-1.99837812578585,-0.0018558270051626,-1
130,-1.99854031320727,-0.0016864630467878,-1
