Time,position,speed,result
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,-0.05,-0.005,0
28,-0.095,-0.009,0
29,-0.1355,-0.01215,0
30,-0.17195,-0.01458,-1
31,-0.204755,-0.0164025,-1
32,-0.2342795,-0.0177147,-1
33,-0.26085155,-0.018600435,-1
34,-0.284766395,-0.019131876,-1
35,-0.3062897555,-0.01937102445,-1
36,-0.37566077995,-0.02437102445,-1
37,-0.438094701955,-0.0281773142055,-2
38,-0.4942852317595,-0.0309786357654,-2
39,-0.54485670858355,-0.032937919871265,-2
40,-0.590371037725195,-0.034195560798303,-2
41,-0.631333933952676,-0.0348722943412208,-2
42,-0.668200540557408,-0.0350717255675719,-2
43,-0.701380486501667,-0.0348825476052406,-2
44,-0.7312424378515,-0.0343804879796999,-2
45,-0.75811819406635,-0.0336300148032149,-2
46,-0.782306374659715,-0.0326858313822299,-2
47,-0.804075737193744,-0.0315941844974098,-2
48,-0.823668163474369,-0.0303940086757314,-2
49,-0.841301347126933,-0.0291179261734145,-2
50,-0.857171212414239,-0.0277931200848038,-2
51,-0.871454091172815,-0.026442095952181,-2
52,-0.884308682055534,-0.0250833454452347,-2
53,-0.89587781384998,-0.0237319240801559,-2
54,-0.906290032464982,-0.0223999535336405,-2
55,-0.915661029218484,-0.0210970578556266,-2
56,-0.924094926296636,-0.0198307417778791,-1
57,-0.931685433666972,-0.0186067183371249,-1
58,-0.938516890300275,-0.0174291921667427,-1
59,-0.944665201270247,-0.0163011040470656,-1
60,-0.950198681143222,-0.0152243416296566,-1
61,-0.9551788130289,-0.0141999206552587,-1
62,-0.95966093172601,-0.0132281404594438,-1
63,-0.963694838553409,-0.0123087170962394,-1
64,-0.967325354698068,-0.0114408970010813,-1
65,-0.970592819228262,-0.0106235537539925,-1
66,-0.973533537305435,-0.00985527018631066,-1
67,-0.976180183574892,-0.00913440779462523,-1
68,-0.978562165217403,-0.00845916517941379,-1
69,-0.980705948695662,-0.00782762700929838,-1
70,-0.982635353826096,-0.00723780482141192,-1
71,-0.984371818443487,-0.00668767080100977,-1
72,-0.985934636599138,-0.00617518553647393,0
73,-0.987341172939224,-0.00569832061683516,0
74,-0.988607055645302,-0.0052550768257594,0
75,-0.939746350080772,0.000156501413269556,0
76,-0.895771715072694,0.00453831477275032,0
77,-0.856194543565425,0.00804220044620223,0
78,-0.820575089208882,0.0107999258372363,0
79,-0.788517580287994,0.0129256841456015,0
80,-0.759665822259195,0.0145182915339213,0
81,-0.733699240033275,0.0156631206031211,0
82,-0.710329316029948,0.0164338009431417,0
83,-0.689296384426953,0.016893714009127,0
84,-0.620366745984258,0.0220973064524839,1
85,-0.558330071385832,0.026091243267078,1
86,-0.502497064247249,0.0290654196542286,1
87,-0.452247357822524,0.0311838483312782,1
88,-0.407022622040271,0.0325879370763756,2
89,-0.366320359836244,0.0333993695891408,2
90,-0.32968832385262,0.0337226362285891,2
91,-0.296719491467358,0.0336472558442564,2
92,-0.267047542320622,0.0332497251745044,2
93,-0.24034278808856,0.0325952280802601,2
94,-0.216308509279704,0.0317391331531197,2
95,-0.194677658351734,0.0307283049306048,2
96,-0.17520989251656,0.0296022510210617,1
97,-0.17520989251656,0.0296022510210617,1
98,-0.127728011644572,0.0258376413825064,1
99,-0.114955210480115,0.0245311573607014,1
100,-0.103459689432104,0.0232275937294325,1
